ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
2718,210.0,16,3,12500,60000,60000.0,Infinity,1133714.0314595657,Infinity,18.895233857659427,Infinity,1,5,5,[16;15;12;8;7;6;3];[16;11;9;4;3];[16;17;10;2;1;3];[16;20;19;18;10;9;2;4;5;3],0.0,0.4811547,Infinity,4,0,
4926,210.0,16,7,12500,60000,37870.23828125,234395.72362803496,483981.3294337637,3.9065953938005826,8.066355490562728,-6.5905476206383895,3,3,2,[16;15;12;8;7];[16;11;9;4;7];[16;17;10;2;1;3;6;7],0.3688294,0.16341855,-1.0770177116109219,8,1,
4929,210.0,14,11,12500,50000,50000.0,63148.444058522735,402350.96652507514,1.2629688811704547,8.047019330501502,-6.784050449331048,0,2,2,[14;15;16;11];[14;13;12;11];[14;23;22;15;12;8;9;11],0.0,0.0,-0.0,2,1,
4978,210.0,15,12,0,57620,36368.05078125,1.2373800640801748E14,453431.7014954962,2.1474836238809004E9,7.869345739248459,3.4023820380606313E9,3,2,1,[15;12];[15;14;13;12];[15;16;11;12];[15;21;16;17;10;9;8;12],0.3688294,0.16341855,5.560123266817716E8,8,2,
4975,210.0,13,19,12500,80000,50493.65234375,3325110.267713155,631312.2861716067,41.56387834641444,7.891403577145084,53.34924209796413,3,7,5,[13;14;15;21;20;19];[13;8;9;10;18;19];[13;12;15;16;17;19],0.3688294,0.16341855,8.718255590870116,8,0,
4818,210.0,23,4,12500,80000,41219.60546875,3243687.7008140953,684682.2321884184,40.54609626017619,8.55852790235523,62.082239306741045,2,7,4,[23;14;13;8;7;4];[23;22;15;12;8;9;4],0.48475492,0.0,0.0,4,0,
4795,210.0,1,15,0,35609,35609.0,7.646974439151356E13,308958.1045421973,2.1474836246879597E9,8.676404969030227,2.1474836160115547E9,1,3,3,[1;3;6;7;8;12;15];[1;2;10;17;16;15];[1;0;2;9;8;13;14;15],0.0,0.4811547,1.0332718566086088E9,4,0,
4721,210.0,21,13,0,16620,10490.0556640625,3.56911778496768E13,151564.76000436087,2.1474836251309748E9,9.119419976194997,3.4023820380606313E9,3,1,1,[21;15;14;13];[21;22;15;12;13];[21;16;11;9;8;13],0.3688294,0.16341855,5.560123266817716E8,8,1,
4489,210.0,14,15,0,14452,14452.0,3.1035433365933266E13,147334.27649506764,2.1474836262062874E9,10.194732666417632,2.1474836160115547E9,1,1,1,[14;15];[14;23;22;15];[14;13;12;15],0.0,0.4811547,1.0332718566086088E9,4,3,
4842,210.0,19,15,0,50998,50998.0,1.0951736987872319E14,429365.9165077923,2.1474836244308245E9,8.41926970680796,2.1474836160115547E9,1,3,3,[19;20;21;15];[19;17;16;15];[19;18;10;11;12;15],0.0,0.4811547,1.0332718566086088E9,4,1,
4845,210.0,12,21,12500,50000,50000.0,737836.7563453445,420652.72344266163,14.75673512690689,8.413054468853232,6.343680658053657,0,2,2,[12;15;21];[12;11;16;21];[12;13;14;23;22;21];[12;8;9;10;18;19;20;21],0.0,0.0,0.0,2,1,
4976,210.0,15,3,0,60000,30914.705078125,21433.771426960888,472739.6099902476,0.35722952378268147,7.87899349983746,-14.598419796923485,2,3,2,[15;12;8;7;6;3];[15;16;11;9;4;3];[15;14;13;8;9;2;1;3];[15;21;16;17;10;2;4;5;3],0.48475492,0.0,-0.0,4,1,
4867,210.0,12,22,12500,40000,40000.0,155939.5125700955,332036.9475002316,3.8984878142523876,8.30092368750579,-4.402435873253403,0,2,2,[12;15;22];[12;13;14;23;22];[12;11;16;21;22],0.0,0.0,-0.0,2,1,
4889,210.0,17,12,12500,80000,41219.60546875,879167.5536836098,657279.1187880816,10.989594421045123,8.21598898485102,5.383079904858705,2,4,2,[17;16;15;12];[17;10;11;12];[17;19;18;10;9;8;12],0.48475492,0.0,0.0,4,1,
4956,210.0,14,21,0,37207,37207.0,7.99014231970925E13,296150.5833895731,2.1474836239710941E9,7.959539425096704,2.1474836160115547E9,1,1,1,[14;15;21];[14;23;22;21];[14;13;12;15;16;21],0.0,0.4811547,1.0332718566086088E9,4,2,
4735,210.0,16,13,0,2950,2950.0,6.335076693911994E12,26677.907808796568,2.1474836250549133E9,9.043358579253074,2.1474836160115547E9,1,1,1,[16;15;14;13];[16;21;15;12;13];[16;11;9;8;13],0.0,0.4811547,1.0332718566086088E9,4,1,
3314,210.0,16,9,12500,80000,50493.65234375,Infinity,1269729.976619233,Infinity,15.871624707740413,Infinity,3,4,3,[16;11;9];[16;15;12;8;9];[16;17;10;9];[16;20;19;18;10;2;9];[16;21;15;14;13;8;7;4;9],0.3688294,0.16341855,Infinity,8,1,
4696,210.0,14,11,12500,50000,50000.0,705901.9350649399,461572.51903928246,14.118038701298797,9.231450380785649,4.886588320513148,1,2,2,[14;15;16;11];[14;13;12;11];[14;23;22;15;12;8;9;11],0.0,0.4811547,2.3512049865117093,4,1,
4954,210.0,22,1,12500,70000,44181.9453125,478836.5618930705,557452.8402964066,6.84052231275815,7.963612004234381,-1.779375714403227,3,6,4,[22;15;12;8;7;6;3;1];[22;21;16;17;10;2;1];[22;23;14;13;8;9;2;0;1],0.3688294,0.16341855,-0.29078299260312146,8,0,
4796,210.0,17,15,0,20280,12800.140625,4.355096790862364E13,175909.30971787553,2.1474836246855838E9,8.674029078790706,3.4023820380606313E9,3,1,1,[17;16;15];[17;19;20;21;15];[17;10;11;12;15],0.3688294,0.16341855,5.560123266817716E8,8,1,
4371,210.0,13,19,0,10646,6719.4423828125,2.2862110691059883E13,115000.87294548642,2.1474836268138158E9,10.802261219752623,3.4023820380606313E9,3,1,1,[13;14;15;21;20;19];[13;8;9;10;18;19];[13;12;15;16;17;19],0.3688294,0.16341855,5.560123266817716E8,8,0,
4510,210.0,12,20,12500,50000,31558.53125,3332917.184073852,505808.2253299993,66.65834368147704,10.116164506599986,89.58303261689353,3,2,2,[12;15;21;20];[12;11;16;20];[12;8;9;10;18;19;20],0.3688294,0.16341855,14.63952896510101,8,1,
3286,210.0,5,16,12500,70000,44181.9453125,Infinity,1119142.4105677214,Infinity,15.98774872239602,Infinity,3,6,4,[5;4;9;11;16];[5;3;6;7;8;12;15;16],0.3688294,0.16341855,Infinity,8,0,
4989,210.0,8,15,0,60000,30914.705078125,82463.16577163647,469440.6145610671,1.3743860961939411,7.8240102426844516,-12.517585120003652,2,2,1,[8;12;15];[8;13;14;15];[8;9;11;16;15];[8;7;4;2;10;17;16;21;15],0.48475492,0.0,-0.0,4,2,
4632,210.0,10,15,0,10456,6599.52001953125,2.2454088788718555E13,99701.73839765546,2.147483625546916E9,9.535361361673246,3.4023820380606313E9,3,1,1,[10;17;16;15];[10;11;12;15];[10;18;19;20;21;15];[10;9;8;13;14;15];[10;2;9;11;16;21;22;15],0.3688294,0.16341855,5.560123266817716E8,8,1,
3171,210.0,16,5,12500,80000,80000.0,Infinity,1329299.7327141021,Infinity,16.616246658926276,Infinity,0,7,7,[16;11;9;4;5];[16;15;12;8;7;6;3;5],0.0,0.0,NaN,2,0,
4529,210.0,12,19,12500,60000,30914.705078125,1366450.4380261125,603355.8943198933,22.774173967101873,10.055931571998222,24.683869655284777,2,3,2,[12;15;21;20;19];[12;8;9;10;18;19];[12;11;10;17;19],0.48475492,0.0,0.0,4,1,
4891,210.0,12,19,0,17276,10904.103515625,3.7099927091885266E13,141669.6434210827,2.1474836242119277E9,8.200372969500041,3.4023820380606313E9,3,1,1,[12;15;21;20;19];[12;8;9;10;18;19];[12;11;10;17;19],0.3688294,0.16341855,5.560123266817716E8,8,1,
4908,210.0,15,16,0,43390,43390.0,9.31793144507504E13,352009.05267462094,2.1474836241242316E9,8.112676945716085,2.1474836160115547E9,1,1,1,[15;16];[15;21;16];[15;22;21;20;16];[15;12;11;16];[15;14;13;8;9;10;17;16],0.0,0.4811547,1.0332718566086088E9,4,3,
2650,210.0,4,22,12500,70000,44181.9453125,Infinity,1348812.026807431,Infinity,19.268743240106154,Infinity,3,6,4,[4;7;8;12;15;22];[4;9;11;16;21;22];[4;2;9;8;13;14;23;22],0.3688294,0.16341855,Infinity,8,0,
4967,210.0,8,15,0,36905,36905.0,7.925288314118256E13,292276.141834159,2.1474836239312441E9,7.9196895226706125,2.1474836160115547E9,1,1,1,[8;12;15];[8;13;14;15];[8;9;11;16;15];[8;7;4;2;10;17;16;21;15],0.0,0.4811547,1.0332718566086088E9,4,2,
4096,210.0,15,17,0,1072,676.6149291992188,2.302102449415558E12,13051.1714244785,2.1474836281861548E9,12.174600209401586,3.4023820380606313E9,3,1,1,[15;16;17];[15;21;20;19;17];[15;12;8;9;10;17],0.3688294,0.16341855,5.560123266817716E8,8,1,
4823,210.0,3,21,0,22862,14429.8232421875,4.9095770624342305E13,195086.14149140572,2.14748362454476E9,8.533205384104878,3.4023820380606313E9,3,2,2,[3;6;7;8;12;15;21];[3;4;9;11;16;21];[3;1;2;10;18;19;20;21];[3;5;4;2;9;8;13;14;23;22;21],0.3688294,0.16341855,5.560123266817716E8,8,0,
4928,210.0,20,8,12500,40000,25246.826171875,241651.9071533894,321960.432903839,6.041297678834734,8.049010822595974,-3.180935624830737,3,2,2,[20;21;15;12;8];[20;19;18;10;9;8];[20;16;15;14;13;8],0.3688294,0.16341855,-0.5198238757441841,8,1,
2894,210.0,22,4,12500,80000,50493.65234375,Infinity,1445229.1516629686,Infinity,18.065364395787107,Infinity,3,7,5,[22;15;12;8;7;4];[22;21;16;11;9;4];[22;23;14;13;8;9;2;4],0.3688294,0.16341855,Infinity,8,0,
4459,210.0,15,12,0,18185,11477.837890625,3.905198974536294E13,188192.81348917526,2.1474836263603485E9,10.348793703006613,3.4023820380606313E9,3,1,1,[15;12];[15;14;13;12];[15;16;11;12];[15;21;16;17;10;9;8;12],0.3688294,0.16341855,5.560123266817716E8,8,2,
4767,210.0,3,21,12500,50000,25762.25390625,197839.72740021447,441265.2582989322,3.9567945480042894,8.825305165978644,-9.448922089715332,2,4,3,[3;6;7;8;12;15;21];[3;4;9;11;16;21];[3;1;2;10;18;19;20;21];[3;5;4;2;9;8;13;14;23;22;21],0.48475492,0.0,-0.0,4,0,
4966,210.0,15,3,0,50000,50000.0,66319.38705308933,396022.85015752993,1.3263877410617866,7.920457003150599,-6.594069262088812,0,2,2,[15;12;8;7;6;3];[15;16;11;9;4;3];[15;14;13;8;9;2;1;3];[15;21;16;17;10;2;4;5;3],0.0,0.0,-0.0,2,1,
4838,210.0,21,9,12500,50000,31558.53125,667398.7350473715,422445.0068344647,13.347974700947429,8.448900136689293,7.761886133273256,3,2,2,[21;15;12;8;9];[21;16;11;9];[21;20;19;18;10;9];[21;22;15;16;17;10;2;9],0.3688294,0.16341855,1.2684361485931805,8,1,
4977,210.0,5,15,0,59335,37450.5078125,1.2742094082308414E14,467038.5379841009,2.1474836238827696E9,7.871214931896873,3.4023820380606313E9,3,5,3,[5;3;6;7;8;12;15];[5;4;9;11;16;15],0.3688294,0.16341855,5.560123266817716E8,8,0,
4906,210.0,16,12,12500,40000,20609.802734375,1096305.047331179,324804.68857609254,27.407626183279476,8.120117214402313,37.433659665598775,2,2,1,[16;15;12];[16;11;12];[16;21;15;14;13;12];[16;17;10;9;8;12],0.48475492,0.0,0.0,4,1,
4761,210.0,16,14,12500,80000,80000.0,1687155.23766171,708510.9869245926,21.089440470771375,8.856387336557408,12.233053134213968,0,3,3,[16;15;14];[16;21;22;23;14];[16;11;9;8;13;14],0.0,0.0,0.0,2,2,
2715,210.0,9,16,12500,80000,80000.0,Infinity,1512662.6939790458,Infinity,18.908283674738072,Infinity,0,4,4,[9;11;16];[9;8;12;15;16];[9;10;17;16];[9;2;10;18;19;20;16];[9;4;7;8;13;14;15;21;16],0.0,0.0,NaN,2,1,
4563,210.0,15,4,0,35238,35238.0,7.56730280091321E13,348116.91855892807,2.1474836258905752E9,9.87902033483535,2.1474836160115547E9,1,2,2,[15;12;8;7;4];[15;16;11;9;4];[15;14;13;8;9;2;4];[15;21;16;17;10;2;1;3;4],0.0,0.4811547,1.0332718566086088E9,4,1,
4880,210.0,15,20,0,61501,61501.0,1.3207239037506892E14,506742.30175012554,2.147483624251133E9,8.239578246697217,2.1474836160115547E9,1,2,2,[15;21;20];[15;16;20];[15;22;21;16;17;19;20],0.0,0.4811547,1.0332718566086088E9,4,2,
6444,210.0,7,21,12500,80000,50493.65234375,497968.14708693774,81531.60855294687,6.224601838586722,1.0191451069118358,8.247305055880407,3,7,5,[7;8;12;15;21];[7;4;9;11;16;21];[7;6;3;1;2;10;18;19;20;21],0.3688294,0.16341855,1.34776260328138,8,0,
6486,210.0,22,7,12500,70000,36067.15625,154188.61724296157,57938.19096154074,2.202694532042308,0.8276884423077249,2.6686447733766947,2,6,3,[22;15;12;8;7];[22;21;16;11;9;4;7];[22;23;14;13;8;9;2;1;3;6;7],0.48475492,0.0,0.0,4,0,
6564,210.0,14,16,12500,70000,36067.15625,38174.394762588585,35632.505364548626,0.5453484966084083,0.5090357909221233,0.07047656949328605,2,3,2,[14;15;16];[14;23;22;21;16];[14;13;12;11;16],0.48475492,0.0,0.0,4,1,
6647,210.0,6,21,12500,70000,44181.9453125,34672.17962756067,8432.736272458997,0.49531685182229523,0.12046766103512851,0.5938951730325828,3,6,4,[6;7;8;12;15;21];[6;3;4;9;11;16;21];[6;5;4;2;10;18;19;20;21],0.3688294,0.16341855,0.09705348584286032,8,0,
6168,210.0,17,21,12500,70000,44181.9453125,179869.67127960053,163365.21822788133,2.569566732565722,2.333788831826876,0.3735565144545323,3,3,2,[17;16;21];[17;19;20;21];[17;10;11;16;15;21],0.3688294,0.16341855,0.06104606256015512,8,1,
6474,210.0,21,2,12500,70000,44181.9453125,140866.35398198184,59554.550117059574,2.0123764854568833,0.8507792873865654,1.8403853760320108,3,6,4,[21;16;17;10;2];[21;15;12;8;9;2];[21;20;19;18;10;9;4;2];[21;22;23;14;13;8;7;6;3;1;2],0.3688294,0.16341855,0.3007531028179119,8,0,
6264,210.0,22,17,12500,60000,60000.0,125397.06479589739,112356.58012510797,2.089951079931623,1.8726096687517995,0.21734141117982375,1,3,3,[22;21;16;17];[22;15;21;20;19;17];[22;23;14;13;8;9;10;17],0.0,0.4811547,0.1045748436790417,4,1,
6388,210.0,19,14,12500,50000,25762.25390625,98382.32446118873,62897.457437604135,1.9676464892237746,1.2579491487520826,1.3773976075223826,2,4,3,[19;20;21;15;14];[19;17;16;21;22;23;14];[19;18;10;9;8;13;14],0.48475492,0.0,0.0,4,0,
6593,210.0,5,22,12500,60000,37870.23828125,36087.80365034882,23060.27595547782,0.6014633941724803,0.384337932591297,0.3440043802809003,3,5,4,[5;3;6;7;8;12;15;22];[5;4;9;11;16;21;22],0.3688294,0.16341855,0.056216695752875905,8,0,
6629,210.0,3,22,12500,60000,37870.23828125,73242.27429842381,12532.311061489025,1.2207045716403968,0.2088718510248171,1.6031048844686255,3,5,4,[3;6;7;8;12;15;22];[3;4;9;11;16;21;22];[3;1;2;9;8;13;14;23;22],0.3688294,0.16341855,0.26197706981676383,8,0,
4510,210.0,12,20,12500,50000,31558.53125,3332917.184073852,505808.2253299993,66.65834368147704,10.116164506599986,89.58303261689353,3,2,2,[12;15;21;20];[12;11;16;20];[12;8;9;10;18;19;20],0.3688294,0.16341855,14.63952896510101,8,1,
6441,210.0,17,22,12500,50000,31558.53125,200766.54880089784,51205.60721669811,4.015330976017957,1.0241121443339622,4.739160359105422,3,2,2,[17;16;21;22];[17;19;20;21;15;22];[17;10;9;8;13;14;23;22],0.3688294,0.16341855,0.7744666966576754,8,1,
6585,210.0,18,16,12500,80000,80000.0,213491.15612912612,34375.387736527045,2.6686394516140766,0.42969234670658807,2.2389471049074885,1,4,4,[18;19;20;16];[18;10;17;16],0.0,0.4811547,1.0772799450888955,4,1,
6550,210.0,18,16,12500,40000,20609.802734375,45122.6924105832,23378.669898278447,1.12806731026458,0.5844667474569611,1.0550330006328954,2,2,1,[18;19;20;16];[18;10;17;16],0.48475492,0.0,0.0,4,1,
6376,210.0,6,22,12500,40000,25246.826171875,67127.57687118341,53255.15479356198,1.6781894217795852,1.3313788698390496,0.5494719418273889,3,4,3,[6;7;8;12;15;22];[6;3;4;9;11;16;21;22];[6;5;4;2;9;8;13;14;23;22],0.3688294,0.16341855,0.08979390597651435,8,0,
6571,210.0,16,23,12500,40000,25246.826171875,124460.65677390536,19037.010119226496,3.111516419347634,0.47592525298066235,4.1757189564839985,3,2,2,[16;21;22;23];[16;15;14;23],0.3688294,0.16341855,0.6823899217053395,8,1,
6026,210.0,22,6,12500,40000,40000.0,147539.13939370733,122860.31538679311,3.6884784848426833,3.0715078846698276,0.6169706001728557,1,4,4,[22;15;12;8;7;6];[22;21;16;11;9;4;3;6];[22;23;14;13;8;9;2;4;5;6],0.0,0.4811547,0.29685831023825804,4,0,
6187,210.0,4,21,12500,50000,25762.25390625,177581.80374508098,112008.15898405504,3.5516360749016194,2.240163179681101,2.545338026779949,2,4,3,[4;7;8;12;15;21];[4;9;11;16;21];[4;2;10;18;19;20;21];[4;3;1;2;9;8;13;14;23;22;21],0.48475492,0.0,0.0,4,0,
6624,210.0,22,16,12500,60000,60000.0,142387.502856047,13675.481658285022,2.3731250476007837,0.22792469430475037,2.1452003532960333,1,2,2,[22;21;16];[22;15;16];[22;23;14;15;21;20;16],0.0,0.4811547,1.0321732539987443,4,2,
6503,210.0,21,12,12500,50000,31558.53125,80841.66799101453,38177.41388109788,1.6168333598202906,0.7635482776219575,1.3519087248771249,3,4,3,[21;15;12];[21;16;11;12];[21;22;23;14;13;12];[21;20;19;18;10;9;8;12],0.3688294,0.16341855,0.22092695857540331,8,0,
6488,210.0,5,21,12500,60000,37870.23828125,52233.225566132685,49090.99240800728,0.8705537594355448,0.8181832068001214,0.08297368430731482,3,5,4,[5;3;6;7;8;12;15;21];[5;4;9;11;16;21],0.3688294,0.16341855,0.013559438872233664,8,0,
6663,210.0,11,21,12500,80000,50493.65234375,25501.221616120234,1550.8639136737656,0.3187652702015029,0.01938579892092207,0.47432414759976277,3,4,3,[11;16;21];[11;12;15;21];[11;10;18;19;20;21];[11;9;8;13;14;23;22;21],0.3688294,0.16341855,0.07751336268475575,8,1,
6403,210.0,16,18,12500,80000,80000.0,165484.61375791617,94893.78368370212,2.0685576719739522,1.1861722960462764,0.8823853759276759,1,4,4,[16;20;19;18];[16;17;10;18],0.0,0.4811547,0.4245638797107215,4,1,
