ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66156,230.0,1,5,12500,250000,154601.203125,722098.3671784466,547480.4833577309,2.8883934687137867,2.1899219334309237,1.1294730068229837,3,7,5,[1;3;5];[1;2;4;5],0.3815952,0.28432035,0.32113216565479885,8,2,
66533,230.0,3,6,12500,100000,61840.48046875,144353.03078420248,51689.88786111299,1.4435303078420247,0.5168988786111299,1.4984221027221238,3,2,1,[3;6];[3;5;6],0.3815952,0.28432035,0.42603190337915503,8,5,
66417,230.0,0,3,12500,200000,200000.0,816094.6951246843,202428.85872945635,4.080473475623421,1.0121442936472818,3.0683291819761394,1,6,6,[0;1;3],0.0,0.22196168,0.6810514910478451,4,2,
66136,230.0,3,23,12500,200000,107390.84375,460025.42081106413,452076.84478733654,2.3001271040553206,2.2603842239366827,0.07401539709374211,2,16,9,[3;6;7;8;13;14;23];[3;4;9;11;16;21;22;23],0.46304578,0.0,0.0,4,0,
66609,230.0,12,21,12500,250000,134238.5625,382317.23462169495,52064.183936948895,1.52926893848678,0.20825673574779557,2.4601951962095465,2,10,6,[12;15;21];[12;13;14;15;16;21],0.46304578,0.0,0.0,4,1,
66277,230.0,7,14,12500,100000,100000.0,193683.69633606903,161904.36729426665,1.9368369633606903,1.6190436729426665,0.31779329041802384,0,4,4,[7;8;13;14],0.0,0.0,0.0,2,1,
66247,230.0,7,21,12500,250000,154601.203125,496405.8776785549,437780.40093796735,1.9856235107142197,1.7511216037518693,0.3792045353075506,3,10,7,[7;8;12;15;21],0.3815952,0.28432035,0.10781556789211562,8,1,
66644,230.0,0,17,12500,250000,134238.5625,181265.84098723697,19852.685794319314,0.7250633639489479,0.07941074317727725,1.2024351272070894,2,10,6,[0;2;10;17];[0;1;2;9;11;16;17],0.46304578,0.0,0.0,4,1,
66576,230.0,2,12,12500,150000,92760.71875,122619.73099697343,51709.58979711031,0.8174648733131562,0.3447305986474021,0.7644414634860952,3,6,4,[2;4;7;8;12];[2;10;11;12],0.3815952,0.28432035,0.21734626786356429,8,1,
66539,230.0,0,3,12500,250000,154601.203125,142507.63854455785,124436.30324978016,0.5700305541782313,0.49774521299912067,0.11689000557156781,3,7,5,[0;1;3],0.3815952,0.28432035,0.03323420781713473,8,2,
66042,230.0,0,16,12500,200000,107390.84375,646914.3364316096,529841.1735710943,3.234571682158048,2.6492058678554713,1.0901596225883143,2,16,9,[0;2;10;11;16];[0;1;3;6;7;8;12;15;16],0.46304578,0.0,0.0,4,0,
66433,230.0,22,23,12500,200000,123680.9609375,538499.5991838537,183705.39495589354,2.6924979959192683,0.9185269747794678,2.8686242488782048,3,4,3,[22;23],0.3815952,0.28432035,0.8156082632583929,8,3,
66541,230.0,9,16,12500,200000,107390.84375,276213.1158054331,97960.5666424959,1.3810655790271653,0.4898028332124795,1.6598486533792198,2,8,5,[9;11;16];[9;10;11;12;15;16],0.46304578,0.0,0.0,4,1,
66002,230.0,2,7,12500,150000,92760.71875,582518.915777598,423823.72647829243,3.8834594385173205,2.825491509855283,1.710801596265871,3,4,3,[2;4;7],0.3815952,0.28432035,0.4864157162639031,8,2,
66367,230.0,15,16,12500,150000,92760.71875,280107.4124522927,184341.89141712806,1.8673827496819513,1.2289459427808538,1.0323930232389806,3,3,2,[15;16],0.3815952,0.28432035,0.293530350311062,8,3,
66461,230.0,8,11,12500,100000,61840.48046875,78287.01843278622,74844.52056754663,0.7828701843278623,0.7484452056754662,0.055667385404034424,3,3,2,[8;9;11],0.3815952,0.28432035,0.01582737075002946,8,2,
66473,230.0,4,19,12500,250000,154601.203125,198497.28796694422,176542.57268442563,0.7939891518677769,0.7061702907377025,0.1420086977434035,3,20,13,[4;9;10;18;19];[4;7;8;12;15;16;17;19],0.3815952,0.28432035,0.04037596327904463,8,0,
66660,230.0,6,14,12500,150000,150000.0,18800.122409970754,2960.980167998173,0.12533414939980503,0.019739867786654486,0.10559428161315054,1,6,6,[6;7;8;13;14],0.0,0.22196168,0.023437883836324794,4,1,
66305,230.0,7,9,12500,200000,200000.0,399524.016625071,310108.06600901333,1.997620083125355,1.5505403300450666,0.44707975308028836,1,6,6,[7;8;9],0.0,0.22196168,0.09923457177972393,4,2,
66639,230.0,4,23,12500,200000,123680.9609375,786812.2478951932,20754.81104825485,3.934061239475966,0.10377405524127425,6.193818594513082,3,16,10,[4;7;8;13;14;23];[4;9;11;16;21;22;23],0.3815952,0.28432035,1.7610286982632415,8,0,
66633,230.0,11,15,12500,250000,154601.203125,308009.96405444894,31386.54120107276,1.2320398562177957,0.12554616480429104,1.7892708486185558,3,10,7,[11;12;15],0.3815952,0.28432035,0.5087261219071607,8,1,
66392,230.0,1,6,12500,100000,53695.421875,122845.958672508,112323.14284368954,1.22845958672508,1.1232314284368954,0.19597230743955626,2,3,2,[1;3;6];[1;2;4;5;6],0.46304578,0.0,0.0,4,2,
66485,230.0,9,18,12500,100000,61840.48046875,90628.91093519737,63260.48052426927,0.9062891093519738,0.6326048052426927,0.4425649697483812,3,4,3,[9;10;18],0.3815952,0.28432035,0.12583022907117797,8,1,
66463,230.0,14,15,12500,250000,134238.5625,358652.0104974511,185747.31973573932,1.4346080419898044,0.7429892789429573,1.2880404548332856,2,5,3,[14;15],0.46304578,0.0,0.0,4,3,
65774,230.0,18,23,12500,150000,92760.71875,652200.9206515463,563309.5963901326,4.348006137676975,3.7553973092675506,0.9582862600440475,3,12,8,[18;19;20;21;22;23],0.3815952,0.28432035,0.2724602891314716,8,0,
66619,230.0,2,7,12500,150000,92760.71875,46577.71770680483,24927.68265138352,0.31051811804536555,0.16618455100922347,0.2333965805489537,3,4,3,[2;4;7],0.3815952,0.28432035,0.06635939851182021,8,2,
66471,230.0,1,11,12500,100000,61840.48046875,100454.98684061726,71293.96851082105,1.0045498684061727,0.7129396851082106,0.4715522593434906,3,4,3,[1;2;10;11];[1;3;4;9;11],0.3815952,0.28432035,0.13407190552374254,8,1,
66583,230.0,6,14,12500,100000,100000.0,42744.069232293215,32408.668369942006,0.42744069232293214,0.32408668369942006,0.10335400862351207,1,4,4,[6;7;8;13;14],0.0,0.22196168,0.022940629086440085,4,1,
66412,230.0,4,15,12500,200000,107390.84375,520618.8182879373,210053.137082798,2.6030940914396865,1.05026568541399,2.891919527405745,2,8,5,[4;7;8;12;15];[4;9;11;12;13;14;15],0.46304578,0.0,0.0,4,1,
66450,230.0,4,15,12500,250000,134238.5625,217789.75879665551,209330.1977126174,0.8711590351866221,0.8373207908504696,0.06301886234764485,2,10,6,[4;7;8;12;15];[4;9;11;12;13;14;15],0.46304578,0.0,0.0,4,1,
66249,230.0,3,15,12500,250000,250000.0,665870.1180708846,435563.1719973303,2.6634804722835383,1.7422526879893212,0.9212277842942171,1,20,20,[3;6;7;8;12;15];[3;4;9;11;12;13;14;15],0.0,0.22196168,0.20447726396950786,4,0,
66659,230.0,3,12,12500,100000,100000.0,218741.61604362144,2742.2185744967464,2.1874161604362143,0.027422185744967464,2.159993974691247,0,4,4,[3;6;7;8;12];[3;4;9;11;12],0.0,0.0,0.0,2,1,
66354,230.0,3,11,12500,150000,92760.71875,642338.269789434,200902.52766812852,4.28225513192956,1.3393501844541902,4.758864938530579,3,6,4,[3;4;9;11];[3;6;7;8;9;10;11],0.3815952,0.28432035,1.353042166158227,8,1,
66521,230.0,20,23,12500,250000,154601.203125,224082.062735377,134743.52506166554,0.896328250941508,0.5389741002466621,0.577864446433776,3,10,7,[20;21;22;23],0.3815952,0.28432035,0.16429862424084787,8,1,
66474,230.0,4,6,12500,100000,100000.0,78031.99824587637,70562.17503571247,0.7803199824587637,0.7056217503571247,0.07469823210163895,1,3,3,[4;5;6],0.0,0.22196168,0.016580144871774984,4,2,
66661,230.0,7,21,12500,150000,80543.1328125,94619.29264755895,2436.152768726174,0.6307952843170597,0.016241018458174494,1.1445189147695187,2,6,4,[7;8;12;15;21],0.46304578,0.0,0.0,4,1,
66468,230.0,5,17,12500,100000,100000.0,116106.13114831381,72184.35716516183,1.161061311483138,0.7218435716516183,0.4392177398315198,1,8,8,[5;6;7;8;9;10;17],0.0,0.22196168,0.09748950613384585,4,0,
66387,230.0,10,15,12500,250000,154601.203125,444747.8225373942,287743.31745876226,1.7789912901495768,1.150973269835049,1.0155451810307592,3,20,13,[10;11;12;15],0.3815952,0.28432035,0.2887401658425062,8,0,
66187,230.0,3,7,12500,100000,100000.0,205881.35747889284,205671.614582036,2.0588135747889282,2.05671614582036,0.002097428968568238,1,3,3,[3;6;7];[3;4;7],0.0,0.22196168,4.65548851407903E-4,4,2,
66394,230.0,12,22,12500,150000,150000.0,241996.67752835125,166457.0280237058,1.6133111835223417,1.1097135201580386,0.5035976633643031,1,6,6,[12;15;22];[12;13;14;15;21;22],0.0,0.22196168,0.11177938193110615,4,1,
66396,230.0,8,11,12500,250000,154601.203125,283411.74300759064,276351.9309104367,1.1336469720303626,1.105407723641747,0.045664665167770783,3,7,5,[8;9;11],0.3815952,0.28432035,0.012983393786874062,8,2,
66490,230.0,2,12,12500,250000,154601.203125,526512.880513252,153397.4633606334,2.106051522053008,0.6135898534425337,2.4134056769125984,3,10,7,[2;4;7;8;12];[2;10;11;12],0.3815952,0.28432035,0.6861803575195964,8,1,
66210,230.0,5,13,12500,150000,92760.71875,320043.2931535261,291449.38404740515,2.1336219543568404,1.9429958936493676,0.3082544944066992,3,6,4,[5;6;7;8;13],0.3815952,0.28432035,0.08764302711411558,8,1,
66176,230.0,0,8,12500,200000,123680.9609375,433460.0343066313,419658.03924772446,2.1673001715331566,2.0982901962386222,0.11159353010016627,3,8,5,[0;2;4;7;8],0.3815952,0.28432035,0.03172831203370831,8,1,
66654,230.0,0,3,12500,250000,250000.0,388401.9935245675,9315.012127856902,1.55360797409827,0.03726004851142761,1.5163479255868424,1,7,7,[0;1;3],0.0,0.22196168,0.3365711285915921,4,2,
66547,230.0,3,8,12500,150000,150000.0,407970.5742293413,71012.17976566261,2.7198038281956087,0.47341453177108406,2.2463892964245247,1,4,4,[3;6;7;8],0.0,0.22196168,0.4986123355964417,4,2,
66483,230.0,8,18,12500,200000,107390.84375,276828.1157179331,132222.50906846966,1.3841405785896654,0.6611125453423483,1.3465357022681135,2,8,5,[8;9;10;18],0.46304578,0.0,0.0,4,1,
66606,230.0,21,23,12500,200000,107390.84375,364861.8037747156,43711.72604643334,1.8243090188735778,0.2185586302321667,2.9904791070486225,2,6,3,[21;22;23],0.46304578,0.0,0.0,4,2,
66559,230.0,2,7,12500,250000,250000.0,190699.54826375123,106648.28304786056,0.762798193055005,0.42659313219144224,0.3362050608635627,0,7,7,[2;4;7],0.0,0.0,0.0,2,2,
66481,230.0,2,7,12500,100000,61840.48046875,143419.5245497051,66375.56763459998,1.434195245497051,0.6637556763459997,1.2458499062414006,3,3,2,[2;4;7],0.3815952,0.28432035,0.35422048694859326,8,2,
66542,230.0,10,18,12500,250000,134238.5625,380554.6761738583,121946.55555630618,1.5222187046954332,0.4877862222252247,1.9264816925231423,2,7,4,[10;18],0.46304578,0.0,0.0,4,2,
66448,230.0,3,9,12500,100000,100000.0,433526.54487180756,85268.3868638053,4.335265448718076,0.8526838686380529,3.482581580080023,1,3,3,[3;4;9];[3;6;7;8;9],0.0,0.22196168,0.7729996480630885,4,2,
66476,230.0,0,6,12500,150000,80543.1328125,147989.94745880237,104945.07098703139,0.9865996497253491,0.6996338065802092,0.5344326019987496,2,6,4,[0;1;3;6];[0;2;4;5;6],0.46304578,0.0,0.0,4,1,
66507,230.0,0,9,12500,200000,123680.9609375,241174.98067425913,113382.91576490746,1.2058749033712957,0.5669145788245373,1.0332395846512936,3,6,4,[0;2;9];[0;1;3;4;9],0.3815952,0.28432035,0.2937710449518844,8,2,
66520,230.0,17,19,12500,200000,123680.9609375,163049.65525356465,108597.35745953003,0.8152482762678233,0.5429867872976502,0.44026418695030944,3,4,3,[17;19],0.3815952,0.28432035,0.1251760696904909,8,3,
66342,230.0,10,19,12500,150000,150000.0,326343.0392791264,208181.0244282991,2.1756202618608427,1.3878734961886607,0.7877467656721819,0,6,6,[10;18;19];[10;17;19],0.0,0.0,0.0,2,1,
66622,230.0,5,21,12500,100000,61840.48046875,218471.5616873177,15143.260041480744,2.184715616873177,0.15143260041480744,3.2879482789392447,3,8,5,[5;6;7;8;12;15;21],0.3815952,0.28432035,0.9348306201196436,8,0,
66662,230.0,11,12,12500,150000,150000.0,206981.15187792608,2314.9655742003006,1.3798743458528406,0.015433103828002004,1.3644412420248386,1,4,4,[11;12],0.0,0.22196168,0.3028536663493547,4,2,
66431,230.0,3,18,12500,200000,200000.0,465891.79521397455,184500.02163936006,2.3294589760698727,0.9225001081968003,1.4069588678730724,1,16,16,[3;4;9;10;18],0.0,0.22196168,0.3122909498878519,4,0,
65972,230.0,4,5,12500,150000,150000.0,550497.6091403961,444295.6022012822,3.669984060935974,2.9619706813418816,0.7080133795940924,1,3,3,[4;5],0.0,0.22196168,0.15715183712584144,4,3,
66581,230.0,0,13,12500,200000,200000.0,466180.06437876145,65635.42506182785,2.3309003218938074,0.32817712530913923,2.002723196584668,0,16,16,[0;2;4;7;8;13];[0;1;2;10;11;12;13],0.0,0.0,0.0,2,0,
33294,230.0,10,23,12500,178912,110640.0390625,1.2294739629974442E15,2.6081687359565288E7,6.871948013534275E9,145.77941870620913,1.1112377854855013E10,3,15,9,[10;18;19;20;21;22;23];[10;17;19;20;21;22;23];[],0.3815952,0.28432035,3.1594752106043887E9,8,0,
66429,230.0,15,21,12500,200000,200000.0,404622.88352595124,188294.54473037686,2.023114417629756,0.9414727236518843,1.081641693977872,1,4,4,[15;21];[15;16;21],0.0,0.22196168,0.2400830043889584,4,3,
66025,230.0,12,22,12500,150000,150000.0,505146.16077380197,407871.62161774974,3.3676410718253464,2.7191441441183315,0.648496927707015,1,6,6,[12;15;22];[12;13;14;15;21;22],0.0,0.22196168,0.14394146565146596,4,1,
66479,230.0,1,14,12500,100000,53695.421875,74279.61091025281,68150.24289767849,0.7427961091025281,0.6815024289767848,0.11415066196262336,2,8,5,[1;3;6;7;8;13;14],0.46304578,0.0,0.0,4,0,
66407,230.0,0,10,12500,200000,123680.9609375,424174.24393771624,213174.69889003178,2.1208712196885813,1.0658734944501589,1.705998587950882,3,6,4,[0;2;10];[0;1;2;9;10],0.3815952,0.28432035,0.4850501232373032,8,2,
66424,230.0,10,12,12500,100000,61840.48046875,267743.9757153763,97884.35694692339,2.6774397571537634,0.9788435694692339,2.7467383373112724,3,4,3,[10;11;12],0.3815952,0.28432035,0.7809536176777988,8,1,
66608,230.0,10,13,12500,150000,150000.0,149598.00382264063,31413.973334525734,0.9973200254842709,0.20942648889683824,0.7878935365874327,1,12,12,[10;11;12;13],0.0,0.22196168,0.1748821707370522,4,0,
66621,230.0,9,14,12500,150000,92760.71875,240668.9591922486,23011.208590941125,1.6044597279483241,0.15340805727294082,2.346443069966362,3,12,8,[9;11;12;13;14],0.3815952,0.28432035,0.6671415253769649,8,0,
66599,230.0,17,20,12500,200000,123680.9609375,222499.68094400855,50123.349772400165,1.1124984047200428,0.2506167488620008,1.3937175907581167,3,6,4,[17;19;20],0.3815952,0.28432035,0.39626227942381237,8,2,
66538,230.0,5,10,12500,100000,61840.48046875,204656.22661154726,50886.442545692036,2.0465622661154725,0.5088644254569203,2.4865554513548926,3,8,5,[5;6;7;8;9;10],0.3815952,0.28432035,0.7069783273178207,8,0,
66384,230.0,3,13,12500,150000,92760.71875,281180.6137562286,173472.12004103768,1.8745374250415239,1.1564808002735845,1.1611433452579611,3,6,4,[3;6;7;8;13];[3;4;9;11;12;13],0.3815952,0.28432035,0.3301366875045527,8,1,
